Invoice_Date,Invoice_No,Customer_Id,Gender,Age,Shopping_Mall,Category,Quantity,Price,Payment_Method,Sales_Amount
2022-07-10,I100008,C199951,Male,65,Emaar Square Mall,Clothing,5,1500.4,Cash,7502.0
2021-06-18,I100014,C138893,Male,55,Viaport Outlet,Cosmetics,5,203.3,Cash,1016.5
2021-03-04,I100015,C132779,Female,35,Mall of Istanbul,Clothing,2,600.16,Debit Card,1200.32
2023-01-05,I100024,C244411,Female,67,Emaar Square Mall,Books,3,45.45,Credit Card,136.35000000000002
2022-05-18,I100027,C150002,Female,19,Mall of Istanbul,Technology,4,4200.0,Cash,16800.0
2021-06-19,I100028,C325553,Female,18,Metrocity,Clothing,1,300.08,Credit Card,300.08
2022-06-23,I100031,C378408,Male,18,Emaar Square Mall,Food & Beverage,3,15.69,Credit Card,47.07
2021-10-19,I100033,C278721,Male,56,Zorlu Center,Food & Beverage,4,20.92,Credit Card,83.68
2021-06-06,I100037,C122873,Female,63,Kanyon,Clothing,1,300.08,Debit Card,300.08
2022-07-24,I100041,C326923,Female,50,Mall of Istanbul,Cosmetics,3,121.98,Cash,365.94
2021-12-26,I100049,C297871,Male,39,Mall of Istanbul,Shoes,1,600.17,Debit Card,600.17
2023-01-02,I100053,C217294,Female,21,Metrocity,Cosmetics,3,121.98,Credit Card,365.94
2021-10-13,I100057,C225062,Female,25,Forum Istanbul,Clothing,2,600.16,Credit Card,1200.32
2021-06-14,I100059,C292544,Female,52,Metrocity,Souvenir,3,35.19,Debit Card,105.57
2021-08-13,I100068,C647308,Female,52,Metropol AVM,Toys,2,71.68,Credit Card,143.36
2021-10-16,I100071,C522050,Female,30,Mall of Istanbul,Clothing,3,900.24,Cash,2700.7200000000003
2021-08-10,I100072,C143773,Male,64,Metropol AVM,Technology,5,5250.0,Debit Card,26250.0
2021-02-03,I100077,C356550,Male,46,Emaar Square Mall,Food & Beverage,1,5.23,Credit Card,5.23
2021-07-10,I100078,C272831,Male,46,Mall of Istanbul,Books,5,75.75,Credit Card,378.75
2022-04-26,I100080,C696236,Male,55,Metropol AVM,Toys,4,143.36,Credit Card,573.44
2021-12-31,I100082,C357288,Female,44,Cevahir AVM,Souvenir,2,23.46,Cash,46.92
2022-10-09,I100084,C226369,Female,68,Kanyon,Shoes,2,1200.34,Credit Card,2400.68
2022-03-27,I100089,C123196,Female,63,Emaar Square Mall,Clothing,5,1500.4,Cash,7502.0
2021-04-17,I100090,C801451,Female,27,Metrocity,Shoes,4,2400.68,Credit Card,9602.72
2021-12-18,I100094,C246470,Female,68,Metropol AVM,Toys,2,71.68,Cash,143.36
2021-11-23,I100095,C608046,Male,60,Istinye Park,Clothing,2,600.16,Cash,1200.32
2022-08-24,I100097,C673123,Female,63,Mall of Istanbul,Food & Beverage,4,20.92,Credit Card,83.68
2021-11-16,I100098,C228071,Male,49,Cevahir AVM,Clothing,5,1500.4,Cash,7502.0
2022-04-15,I100105,C246820,Male,39,Kanyon,Food & Beverage,4,20.92,Debit Card,83.68
2021-09-12,I100106,C850385,Male,36,Metropol AVM,Food & Beverage,2,10.46,Credit Card,20.92
2021-08-06,I100108,C331773,Female,45,Cevahir AVM,Books,4,60.6,Credit Card,242.4
2022-09-13,I100111,C314731,Female,46,Metrocity,Clothing,3,900.24,Debit Card,2700.7200000000003
2021-01-31,I100113,C136435,Male,48,Zorlu Center,Clothing,1,300.08,Credit Card,300.08
2022-11-18,I100116,C235320,Female,60,Metropol AVM,Cosmetics,3,121.98,Cash,365.94
2022-03-26,I100126,C103405,Male,31,Emaar Square Mall,Clothing,3,900.24,Credit Card,2700.7200000000003
2021-11-16,I100127,C708853,Male,38,Cevahir AVM,Clothing,2,600.16,Debit Card,1200.32
2022-07-16,I100128,C168282,Female,23,Istinye Park,Clothing,3,900.24,Credit Card,2700.7200000000003
2021-05-16,I100137,C233463,Male,35,Mall of Istanbul,Shoes,5,3000.85,Cash,15004.25
2021-06-19,I100138,C237364,Male,52,Mall of Istanbul,Clothing,2,600.16,Cash,1200.32
2021-08-28,I100142,C161659,Male,37,Metropol AVM,Clothing,4,1200.32,Debit Card,4801.28
2022-12-10,I100145,C153189,Female,20,Kanyon,Clothing,5,1500.4,Debit Card,7502.0
2022-04-25,I100146,C320745,Female,24,Emaar Square Mall,Shoes,4,2400.68,Credit Card,9602.72
2022-04-16,I100148,C200488,Male,52,Zorlu Center,Shoes,4,2400.68,Cash,9602.72
2021-11-17,I100149,C193896,Female,65,Mall of Istanbul,Food & Beverage,5,26.15,Cash,130.75
2021-07-23,I100151,C315218,Male,69,Kanyon,Clothing,2,600.16,Cash,1200.32
2021-02-25,I100152,C265676,Female,43,Mall of Istanbul,Shoes,5,3000.85,Credit Card,15004.25
2021-06-29,I100155,C312476,Female,30,Metropol AVM,Food & Beverage,4,20.92,Credit Card,83.68
2021-01-25,I100156,C462935,Female,69,Metropol AVM,Books,3,45.45,Credit Card,136.35000000000002
2021-04-11,I100161,C262871,Female,30,Kanyon,Clothing,1,300.08,Cash,300.08
2021-11-15,I100168,C135319,Male,43,Zorlu Center,Shoes,4,2400.68,Cash,9602.72
2021-05-18,I100173,C190374,Female,69,Metropol AVM,Food & Beverage,1,5.23,Cash,5.23
2021-12-07,I100174,C286570,Female,36,Mall of Istanbul,Clothing,1,300.08,Cash,300.08
2022-04-18,I100181,C123341,Female,33,Metrocity,Clothing,5,1500.4,Cash,7502.0
2022-09-18,I100184,C131276,Female,32,Kanyon,Cosmetics,2,81.32,Cash,162.64
2023-01-30,I100186,C222236,Male,62,Zorlu Center,Clothing,1,300.08,Debit Card,300.08
2021-07-28,I100187,C178869,Female,41,Metrocity,Food & Beverage,1,5.23,Credit Card,5.23
2021-11-17,I100192,C161234,Male,57,Mall of Istanbul,Clothing,1,300.08,Debit Card,300.08
2022-02-26,I100193,C149918,Male,34,Istinye Park,Clothing,1,300.08,Debit Card,300.08
2022-12-20,I100195,C322199,Female,34,Mall of Istanbul,Food & Beverage,5,26.15,Debit Card,130.75
2021-07-18,I100198,C136883,Female,58,Cevahir AVM,Cosmetics,5,203.3,Credit Card,1016.5
2022-02-25,I100199,C275614,Female,31,Istinye Park,Books,5,75.75,Cash,378.75
2021-07-28,I100200,C948033,Male,24,Metrocity,Toys,4,143.36,Cash,573.44
2021-03-20,I100201,C982027,Male,57,Istinye Park,Souvenir,5,58.65,Cash,293.25
2022-11-20,I100202,C182496,Male,45,Kanyon,Food & Beverage,4,20.92,Credit Card,83.68
2021-06-26,I100205,C220151,Male,32,Istinye Park,Clothing,5,1500.4,Credit Card,7502.0
2021-04-19,I100207,C452901,Male,22,Metrocity,Clothing,4,1200.32,Credit Card,4801.28
2021-02-10,I100211,C239527,Female,59,Metrocity,Clothing,2,600.16,Debit Card,1200.32
2021-08-31,I100212,C282695,Female,60,Kanyon,Souvenir,3,35.19,Credit Card,105.57
2022-03-06,I100214,C989972,Female,42,Istinye Park,Clothing,3,900.24,Cash,2700.7200000000003
2021-04-12,I100215,C198589,Male,27,Mall of Istanbul,Shoes,3,1800.51,Debit Card,5401.53
2022-03-09,I100216,C145243,Male,27,Mall of Istanbul,Cosmetics,1,40.66,Cash,40.66
2022-10-15,I100218,C205490,Male,37,Kanyon,Food & Beverage,1,5.23,Cash,5.23
2021-05-26,I100220,C122251,Male,25,Mall of Istanbul,Clothing,5,1500.4,Cash,7502.0
2022-11-21,I100223,C212702,Female,45,Metrocity,Shoes,5,3000.85,Credit Card,15004.25
2022-10-12,I100225,C128382,Male,44,Istinye Park,Cosmetics,3,121.98,Credit Card,365.94
2022-05-13,I100227,C364271,Female,67,Metrocity,Toys,3,107.52,Cash,322.56
2023-02-21,I100228,C248381,Male,42,Mall of Istanbul,Clothing,2,600.16,Cash,1200.32
2023-02-28,I100229,C397160,Male,27,Mall of Istanbul,Cosmetics,4,162.64,Debit Card,650.56
2021-07-19,I100231,C274640,Female,67,Metropol AVM,Technology,1,1050.0,Debit Card,1050.0
2022-10-20,I100240,C240922,Female,22,Cevahir AVM,Cosmetics,3,121.98,Credit Card,365.94
2023-01-12,I100243,C332855,Female,42,Kanyon,Clothing,1,300.08,Cash,300.08
2022-12-19,I100249,C209647,Male,40,Kanyon,Clothing,5,1500.4,Credit Card,7502.0
2022-05-29,I100251,C228482,Female,36,Metropol AVM,Souvenir,4,46.92,Cash,187.68
2023-03-03,I100261,C315632,Female,41,Mall of Istanbul,Cosmetics,2,81.32,Credit Card,162.64
2022-12-11,I100267,C299948,Female,57,Kanyon,Cosmetics,4,162.64,Debit Card,650.56
2021-02-13,I100271,C892772,Male,37,Metrocity,Toys,4,143.36,Debit Card,573.44
2021-05-10,I100273,C291963,Female,67,Cevahir AVM,Toys,5,179.2,Cash,896.0
2021-06-28,I100281,C711548,Male,39,Kanyon,Toys,1,35.84,Debit Card,35.84
2022-07-30,I100282,C836957,Male,45,Viaport Outlet,Clothing,3,900.24,Cash,2700.7200000000003
2022-08-13,I100284,C174674,Female,66,Kanyon,Clothing,2,600.16,Credit Card,1200.32
2022-02-13,I100288,C435081,Female,33,Kanyon,Food & Beverage,3,15.69,Credit Card,47.07
2021-12-24,I100290,C118172,Male,45,Mall of Istanbul,Cosmetics,3,121.98,Credit Card,365.94
2021-08-03,I100291,C832260,Male,18,Istinye Park,Clothing,5,1500.4,Debit Card,7502.0
2022-08-16,I100292,C721616,Female,21,Mall of Istanbul,Clothing,2,600.16,Cash,1200.32
2022-11-28,I100293,C991830,Female,28,Kanyon,Food & Beverage,3,15.69,Cash,47.07
